"ages_100" "events_100"
0.06 29
0.16 26
0.26 6
0.36 11
0.46 43
0.56 23
0.66 15
0.76 25
0.86 13
0.96 17
1.06 19
1.16 11
1.26 20
1.36 20
1.46 27
1.56 12
1.66 22
1.76 10
1.86 4
1.96 21
2.06 24
2.16 12
2.26 11
2.36 20
2.46 27
2.56 14
2.66 9
2.76 16
2.86 2
2.96 26
3.06 11
3.16 9
3.26 7
3.36 9
3.46 17
3.56 18
3.66 7
3.76 13
3.86 3
3.96 35
4.06 7
4.16 11
4.26 2
4.36 4
4.46 10
4.56 6
4.66 9
4.76 4
4.86 3
4.96 13
5.06 5
5.16 7
5.26 2
5.36 0
5.46 15
5.56 4
5.66 1
5.76 2
5.86 2
5.96 16
6.06 0
6.16 5
6.26 4
6.36 0
6.46 12
6.56 0
6.66 1
6.76 2
6.86 3
6.96 27
7.06 2
7.16 0
7.26 0
7.36 1
7.46 6
7.56 0
7.66 1
7.76 0
7.86 1
7.96 24
8.06 3
8.16 3
8.26 1
8.36 0
8.46 7
8.56 0
8.66 0
8.76 1
8.86 0
8.96 10
9.06 0
9.16 0
9.26 0
9.36 1
9.46 4
9.56 5
9.66 0
9.76 0
9.86 0
9.96 13
10.06 0
10.16 0
10.26 3
10.36 0
10.46 6
10.56 0
10.66 0
10.76 1
10.86 0
10.96 15
11.06 1
11.16 0
11.26 0
11.36 0
11.46 3
11.56 0
11.66 0
11.76 2
11.86 0
