"","ngrip_age","ngrip_oxy18"
"267",5.34,-35.39
"268",5.36,-34.96
"269",5.38,-34.78
"270",5.4,-35.1
"271",5.42,-34.35
"272",5.44,-34.81
"273",5.46,-34.91
"274",5.48,-34.47
"275",5.5,-34.53
"276",5.52,-34.7
"277",5.54,-34.36
"278",5.56,-34.22
"279",5.58,-35.06
"280",5.6,-34.78
"281",5.62,-35.19
"282",5.64,-33.88
"283",5.66,-35.2
"284",5.68,-35.18
"285",5.7,-34.51
"286",5.72,-35.25
"287",5.74,-34.69
"288",5.76,-34.71
"289",5.78,-34.55
"290",5.8,-34.5
"291",5.82,-34.71
"292",5.84,-35.02
"293",5.86,-34.71
"294",5.88,-33.95
"295",5.9,-34.2
"296",5.92,-34.61
"297",5.94,-34.91
"298",5.96,-34.73
"299",5.98,-34.85
"300",6,-35.03
"301",6.02,-34.77
"302",6.04,-34.78
"303",6.06,-35.49
"304",6.08,-34.27
"305",6.1,-35.17
"306",6.12,-34.71
"307",6.14,-34.39
"308",6.16,-34.42
"309",6.18,-34.89
"310",6.2,-34.89
"311",6.22,-34.58
"312",6.24,-34.6
"313",6.26,-35.13
"314",6.28,-34.38
"315",6.3,-35.2
"316",6.32,-34.55
"317",6.34,-34.6
"318",6.36,-34.86
"319",6.38,-34.99
"320",6.4,-34.23
"321",6.42,-34.62
"322",6.44,-34.07
"323",6.46,-34.97
"324",6.48,-34.32
"325",6.5,-34.5
"326",6.52,-34.53
"327",6.54,-35.01
"328",6.56,-34.97
"329",6.58,-34.98
"330",6.6,-34.45
"331",6.62,-34.37
"332",6.64,-34.61
"333",6.66,-34.57
"334",6.68,-34.74
"335",6.7,-34.37
"336",6.72,-34.49
"337",6.74,-34.52
"338",6.76,-34.58
"339",6.78,-35.12
"340",6.8,-34.69
"341",6.82,-34.32
"342",6.84,-34.36
"343",6.86,-34.72
"344",6.88,-34.56
"345",6.9,-34.97
"346",6.92,-34.32
"347",6.94,-34.26
"348",6.96,-35.11
"349",6.98,-34.73
"350",7,-34.47
"351",7.02,-34.82
"352",7.04,-34.9
"353",7.06,-34.77
"354",7.08,-34.4
"355",7.1,-34.95
"356",7.12,-34.97
"357",7.14,-34.36
"358",7.16,-35.28
"359",7.18,-34.74
"360",7.2,-34.68
"361",7.22,-34.93
"362",7.24,-34.87
"363",7.26,-34.12
"364",7.28,-34.84
"365",7.3,-34.99
"366",7.32,-34.73
"367",7.34,-34.64
"368",7.36,-34.74
"369",7.38,-34.31
"370",7.4,-34.55
"371",7.42,-34.62
"372",7.44,-34.5
"373",7.46,-34.44
"374",7.48,-33.88
"375",7.5,-34.77
"376",7.52,-34.78
"377",7.54,-35.04
"378",7.56,-34.34
"379",7.58,-34.52
"380",7.6,-34.08
"381",7.62,-34.01
"382",7.64,-34.88
"383",7.66,-33.9
"384",7.68,-34.01
"385",7.7,-34.65
"386",7.72,-34.26
"387",7.74,-34.09
"388",7.76,-34.75
"389",7.78,-34.35
"390",7.8,-34.13
"391",7.82,-33.76
"392",7.84,-34.35
"393",7.86,-34.4
"394",7.88,-34.62
"395",7.9,-34.98
"396",7.92,-34.51
"397",7.94,-34.78
"398",7.96,-34.83
"399",7.98,-33.6
"400",8,-34.04
"401",8.02,-34.4
"402",8.04,-34.43
"403",8.06,-35.05
"404",8.08,-34.51
"405",8.1,-34.5
"406",8.12,-33.96
"407",8.14,-35.44
"408",8.16,-35.68
"409",8.18,-35.54
"410",8.2,-36.06
"411",8.22,-35.88
"412",8.24,-36.03
"413",8.26,-35.21
"414",8.28,-35.68
"415",8.32,-34.7
"416",8.34,-34.87
"417",8.36,-34.95
"418",8.38,-34.41
"419",8.4,-35.36
"420",8.42,-34.79
"421",8.44,-34.46
"422",8.46,-35.07
"423",8.48,-34.7
"424",8.5,-34.43
"425",8.52,-34.83
"426",8.54,-34.99
"427",8.56,-34.59
"428",8.58,-34.35
"429",8.6,-34.83
