format version:	1.2		
date:	16/08/2017		
age_units:	ka (before AD2000)		
			
HumanCulture_MidEastIntervals_200.0_yr_bin20.0yr_event_frequency_curve	point	250	
nopoints	line	0	100
	0.01	89	
	0.03	55	
	0.05	55	
	0.07	45	
	0.09	39	
	0.11	32	
	0.13	32	
	0.15	29	
	0.17	21	
	0.19	17	
	0.21	19	
	0.23	17	
	0.25	17	
	0.27	17	
	0.29	23	
	0.31	31	
	0.33	56	
	0.35	59	
	0.37	65	
	0.39	64	
	0.41	66	
	0.43	67	
	0.45	71	
	0.47	73	
	0.49	64	
	0.51	36	
	0.53	36	
	0.55	37	
	0.57	35	
	0.59	38	
	0.61	40	
	0.63	39	
	0.65	34	
	0.67	31	
	0.69	33	
	0.71	38	
	0.73	40	
	0.75	37	
	0.77	36	
	0.79	32	
	0.81	30	
	0.83	30	
	0.85	32	
	0.87	39	
	0.89	37	
	0.91	38	
	0.93	34	
	0.95	34	
	0.97	30	
	0.99	32	
	1.01	30	
	1.03	32	
	1.05	29	
	1.07	33	
	1.09	33	
	1.11	31	
	1.13	31	
	1.15	34	
	1.17	42	
	1.19	43	
	1.21	40	
	1.23	41	
	1.25	41	
	1.27	33	
	1.29	34	
	1.31	47	
	1.33	49	
	1.35	46	
	1.37	38	
	1.39	35	
	1.41	39	
	1.43	38	
	1.45	38	
	1.47	35	
	1.49	38	
	1.51	34	
	1.53	32	
	1.55	31	
	1.57	32	
	1.59	38	
	1.61	32	
	1.63	30	
	1.65	30	
	1.67	33	
	1.69	29	
	1.71	14	
	1.73	14	
	1.75	16	
	1.77	15	
	1.79	9	
	1.81	25	
	1.83	25	
	1.85	31	
	1.87	29	
	1.89	31	
	1.91	45	
	1.93	45	
	1.95	45	
	1.97	47	
	1.99	47	
	2.01	33	
	2.03	36	
	2.05	34	
	2.07	34	
	2.09	32	
	2.11	23	
	2.13	23	
	2.15	36	
	2.17	35	
	2.19	35	
	2.21	34	
	2.23	31	
	2.25	27	
	2.27	25	
	2.29	30	
	2.31	46	
	2.33	47	
	2.35	34	
	2.37	38	
	2.39	38	
	2.41	41	
	2.43	45	
	2.45	45	
	2.47	45	
	2.49	42	
	2.51	24	
	2.53	24	
	2.55	23	
	2.57	20	
	2.59	21	
	2.61	25	
	2.63	21	
	2.65	21	
	2.67	21	
	2.69	20	
	2.71	18	
	2.73	17	
	2.75	16	
	2.77	14	
	2.79	14	
	2.81	28	
	2.83	28	
	2.85	28	
	2.87	32	
	2.89	33	
	2.91	37	
	2.93	37	
	2.95	37	
	2.97	38	
	2.99	37	
	3.01	20	
	3.03	20	
	3.05	20	
	3.07	19	
	3.09	18	
	3.11	16	
	3.13	16	
	3.15	17	
	3.17	19	
	3.19	21	
	3.21	16	
	3.23	16	
	3.25	16	
	3.27	14	
	3.29	17	
	3.31	26	
	3.33	26	
	3.35	27	
	3.37	27	
	3.39	25	
	3.41	35	
	3.43	35	
